id,taxon,kingdom,phylum,enzyme,trait,trait_unit_SI,temperature,trait_value,citation
MGT001,Bacillus subtilis,Bacteria,Bacillota,glycosyltransferase Bs-YjiC,relative activity,percent,30,87.91,"Dai et al. 2017. Exploiting the aglycon promiscuity of glycosyltransferase Bs-YjiC from Bacillus subtilis and its application in synthesis of glycosides. Journal of Biotechnology, 248"
MGT001,Bacillus subtilis,Bacteria,Bacillota,glycosyltransferase Bs-YjiC,relative activity,percent,32,96.72,"Dai et al. 2017. Exploiting the aglycon promiscuity of glycosyltransferase Bs-YjiC from Bacillus subtilis and its application in synthesis of glycosides. Journal of Biotechnology, 248"
MGT001,Bacillus subtilis,Bacteria,Bacillota,glycosyltransferase Bs-YjiC,relative activity,percent,35,99.86,"Dai et al. 2017. Exploiting the aglycon promiscuity of glycosyltransferase Bs-YjiC from Bacillus subtilis and its application in synthesis of glycosides. Journal of Biotechnology, 248"
MGT001,Bacillus subtilis,Bacteria,Bacillota,glycosyltransferase Bs-YjiC,relative activity,percent,37,97.91,"Dai et al. 2017. Exploiting the aglycon promiscuity of glycosyltransferase Bs-YjiC from Bacillus subtilis and its application in synthesis of glycosides. Journal of Biotechnology, 248"
MGT001,Bacillus subtilis,Bacteria,Bacillota,glycosyltransferase Bs-YjiC,relative activity,percent,40,92.51,"Dai et al. 2017. Exploiting the aglycon promiscuity of glycosyltransferase Bs-YjiC from Bacillus subtilis and its application in synthesis of glycosides. Journal of Biotechnology, 248"
MGT001,Bacillus subtilis,Bacteria,Bacillota,glycosyltransferase Bs-YjiC,relative activity,percent,45,88.32,"Dai et al. 2017. Exploiting the aglycon promiscuity of glycosyltransferase Bs-YjiC from Bacillus subtilis and its application in synthesis of glycosides. Journal of Biotechnology, 248"
MGT001,Bacillus subtilis,Bacteria,Bacillota,glycosyltransferase Bs-YjiC,relative activity,percent,50,45.79,"Dai et al. 2017. Exploiting the aglycon promiscuity of glycosyltransferase Bs-YjiC from Bacillus subtilis and its application in synthesis of glycosides. Journal of Biotechnology, 248"
NAD001,Bacillus subtilis,Bacteria,Bacillota,NAD kinase,relative activity,percent,25,44.17,Garavaglia et al. 2003. Allosteric Regulation of Bacillus subtilis NAD Kinase by Quinolinic Acid. Journal of Bacteriology. 185:16
NAD001,Bacillus subtilis,Bacteria,Bacillota,NAD kinase,relative activity,percent,30,92.96,Garavaglia et al. 2003. Allosteric Regulation of Bacillus subtilis NAD Kinase by Quinolinic Acid. Journal of Bacteriology. 185:16
NAD001,Bacillus subtilis,Bacteria,Bacillota,NAD kinase,relative activity,percent,35,100.03,Garavaglia et al. 2003. Allosteric Regulation of Bacillus subtilis NAD Kinase by Quinolinic Acid. Journal of Bacteriology. 185:16
NAD001,Bacillus subtilis,Bacteria,Bacillota,NAD kinase,relative activity,percent,40,82.94,Garavaglia et al. 2003. Allosteric Regulation of Bacillus subtilis NAD Kinase by Quinolinic Acid. Journal of Bacteriology. 185:16
NAD001,Bacillus subtilis,Bacteria,Bacillota,NAD kinase,relative activity,percent,50,65.14,Garavaglia et al. 2003. Allosteric Regulation of Bacillus subtilis NAD Kinase by Quinolinic Acid. Journal of Bacteriology. 185:16
NAD001,Bacillus subtilis,Bacteria,Bacillota,NAD kinase,relative activity,percent,60,22.23,Garavaglia et al. 2003. Allosteric Regulation of Bacillus subtilis NAD Kinase by Quinolinic Acid. Journal of Bacteriology. 185:16
NAD001,Bacillus subtilis,Bacteria,Bacillota,NAD kinase,relative activity,percent,70,1.8,Garavaglia et al. 2003. Allosteric Regulation of Bacillus subtilis NAD Kinase by Quinolinic Acid. Journal of Bacteriology. 185:16
NAD001,Bacillus subtilis,Bacteria,Bacillota,NAD kinase,relative activity,percent,80,0.15,Garavaglia et al. 2003. Allosteric Regulation of Bacillus subtilis NAD Kinase by Quinolinic Acid. Journal of Bacteriology. 185:16
ARL001,Bacillus subtilis,Bacteria,Bacillota,AraL,relative activity,percent,25,0.04,Godinho et al. 2011. Characterization and regulation of a bacterial sugar phosphatase of the haloalkanoate dehalogenase superfamily AraL from Bacillus subtilis. FEBS Journal. 278:14
ARL001,Bacillus subtilis,Bacteria,Bacillota,AraL,relative activity,percent,37,6.97,Godinho et al. 2011. Characterization and regulation of a bacterial sugar phosphatase of the haloalkanoate dehalogenase superfamily AraL from Bacillus subtilis. FEBS Journal. 278:14
ARL001,Bacillus subtilis,Bacteria,Bacillota,AraL,relative activity,percent,45,14.14,Godinho et al. 2011. Characterization and regulation of a bacterial sugar phosphatase of the haloalkanoate dehalogenase superfamily AraL from Bacillus subtilis. FEBS Journal. 278:14
ARL001,Bacillus subtilis,Bacteria,Bacillota,AraL,relative activity,percent,55,32.07,Godinho et al. 2011. Characterization and regulation of a bacterial sugar phosphatase of the haloalkanoate dehalogenase superfamily AraL from Bacillus subtilis. FEBS Journal. 278:14
ARL001,Bacillus subtilis,Bacteria,Bacillota,AraL,relative activity,percent,65,100.2,Godinho et al. 2011. Characterization and regulation of a bacterial sugar phosphatase of the haloalkanoate dehalogenase superfamily AraL from Bacillus subtilis. FEBS Journal. 278:14
ARL001,Bacillus subtilis,Bacteria,Bacillota,AraL,relative activity,percent,70,53.35,Godinho et al. 2011. Characterization and regulation of a bacterial sugar phosphatase of the haloalkanoate dehalogenase superfamily AraL from Bacillus subtilis. FEBS Journal. 278:14
PEL001,Bacillus subtilis,Bacteria,Bacillota,Pectate lyase C,relative activity,percent,30,16.61,Soriano et al. 2006. Pectate lyase C from Bacillus subtilis: a novel endo-cleaving enzyme with activity on highly methylated pectin. Microbiology. 152:3
PEL001,Bacillus subtilis,Bacteria,Bacillota,Pectate lyase C,relative activity,percent,35,18.31,Soriano et al. 2006. Pectate lyase C from Bacillus subtilis: a novel endo-cleaving enzyme with activity on highly methylated pectin. Microbiology. 152:3
PEL001,Bacillus subtilis,Bacteria,Bacillota,Pectate lyase C,relative activity,percent,40,37.69,Soriano et al. 2006. Pectate lyase C from Bacillus subtilis: a novel endo-cleaving enzyme with activity on highly methylated pectin. Microbiology. 152:3
PEL001,Bacillus subtilis,Bacteria,Bacillota,Pectate lyase C,relative activity,percent,45,43.72,Soriano et al. 2006. Pectate lyase C from Bacillus subtilis: a novel endo-cleaving enzyme with activity on highly methylated pectin. Microbiology. 152:3
PEL001,Bacillus subtilis,Bacteria,Bacillota,Pectate lyase C,relative activity,percent,50,59.91,Soriano et al. 2006. Pectate lyase C from Bacillus subtilis: a novel endo-cleaving enzyme with activity on highly methylated pectin. Microbiology. 152:3
PEL001,Bacillus subtilis,Bacteria,Bacillota,Pectate lyase C,relative activity,percent,55,69.51,Soriano et al. 2006. Pectate lyase C from Bacillus subtilis: a novel endo-cleaving enzyme with activity on highly methylated pectin. Microbiology. 152:3
PEL001,Bacillus subtilis,Bacteria,Bacillota,Pectate lyase C,relative activity,percent,60,84.38,Soriano et al. 2006. Pectate lyase C from Bacillus subtilis: a novel endo-cleaving enzyme with activity on highly methylated pectin. Microbiology. 152:3
PEL001,Bacillus subtilis,Bacteria,Bacillota,Pectate lyase C,relative activity,percent,65,100,Soriano et al. 2006. Pectate lyase C from Bacillus subtilis: a novel endo-cleaving enzyme with activity on highly methylated pectin. Microbiology. 152:3
PEL001,Bacillus subtilis,Bacteria,Bacillota,Pectate lyase C,relative activity,percent,70,91.53,Soriano et al. 2006. Pectate lyase C from Bacillus subtilis: a novel endo-cleaving enzyme with activity on highly methylated pectin. Microbiology. 152:3
PEL001,Bacillus subtilis,Bacteria,Bacillota,Pectate lyase C,relative activity,percent,75,64.99,Soriano et al. 2006. Pectate lyase C from Bacillus subtilis: a novel endo-cleaving enzyme with activity on highly methylated pectin. Microbiology. 152:3
PEL001,Bacillus subtilis,Bacteria,Bacillota,Pectate lyase C,relative activity,percent,80,56.14,Soriano et al. 2006. Pectate lyase C from Bacillus subtilis: a novel endo-cleaving enzyme with activity on highly methylated pectin. Microbiology. 152:3
PEL001,Bacillus subtilis,Bacteria,Bacillota,Pectate lyase C,relative activity,percent,85,55.2,Soriano et al. 2006. Pectate lyase C from Bacillus subtilis: a novel endo-cleaving enzyme with activity on highly methylated pectin. Microbiology. 152:3
YEX001,Bacillus subtilis,Bacteria,Bacillota,YesX RG lyase,relative activity,percent,30,31.16,Ochiai t al. 2007. Plant Cell Wall Degradation by Saprophytic Bacillus subtilis Strains: Gene Clusters Responsible for Rhamnogalacturonan Depolymerization. Applied and Environmental Microbiology. 73:12
YEX001,Bacillus subtilis,Bacteria,Bacillota,YesX RG lyase,relative activity,percent,37,42.86,Ochiai t al. 2007. Plant Cell Wall Degradation by Saprophytic Bacillus subtilis Strains: Gene Clusters Responsible for Rhamnogalacturonan Depolymerization. Applied and Environmental Microbiology. 73:12
YEX001,Bacillus subtilis,Bacteria,Bacillota,YesX RG lyase,relative activity,percent,45,42.86,Ochiai t al. 2007. Plant Cell Wall Degradation by Saprophytic Bacillus subtilis Strains: Gene Clusters Responsible for Rhamnogalacturonan Depolymerization. Applied and Environmental Microbiology. 73:12
YEX001,Bacillus subtilis,Bacteria,Bacillota,YesX RG lyase,relative activity,percent,55,71.43,Ochiai t al. 2007. Plant Cell Wall Degradation by Saprophytic Bacillus subtilis Strains: Gene Clusters Responsible for Rhamnogalacturonan Depolymerization. Applied and Environmental Microbiology. 73:12
YEX001,Bacillus subtilis,Bacteria,Bacillota,YesX RG lyase,relative activity,percent,60,99.86,Ochiai t al. 2007. Plant Cell Wall Degradation by Saprophytic Bacillus subtilis Strains: Gene Clusters Responsible for Rhamnogalacturonan Depolymerization. Applied and Environmental Microbiology. 73:12
YEX001,Bacillus subtilis,Bacteria,Bacillota,YesX RG lyase,relative activity,percent,65,70.48,Ochiai t al. 2007. Plant Cell Wall Degradation by Saprophytic Bacillus subtilis Strains: Gene Clusters Responsible for Rhamnogalacturonan Depolymerization. Applied and Environmental Microbiology. 73:12
YEX001,Bacillus subtilis,Bacteria,Bacillota,YesX RG lyase,relative activity,percent,70,65.44,Ochiai t al. 2007. Plant Cell Wall Degradation by Saprophytic Bacillus subtilis Strains: Gene Clusters Responsible for Rhamnogalacturonan Depolymerization. Applied and Environmental Microbiology. 73:12
YEX001,Bacillus subtilis,Bacteria,Bacillota,YesW RG lyase,relative activity,percent,75,52.79,Ochiai t al. 2007. Plant Cell Wall Degradation by Saprophytic Bacillus subtilis Strains: Gene Clusters Responsible for Rhamnogalacturonan Depolymerization. Applied and Environmental Microbiology. 73:12
YEW001,Bacillus subtilis,Bacteria,Bacillota,YesW RG lyase,relative activity,percent,20,27.48,Ochiai t al. 2007. Plant Cell Wall Degradation by Saprophytic Bacillus subtilis Strains: Gene Clusters Responsible for Rhamnogalacturonan Depolymerization. Applied and Environmental Microbiology. 73:12
YEW001,Bacillus subtilis,Bacteria,Bacillota,YesW RG lyase,relative activity,percent,30,37.96,Ochiai t al. 2007. Plant Cell Wall Degradation by Saprophytic Bacillus subtilis Strains: Gene Clusters Responsible for Rhamnogalacturonan Depolymerization. Applied and Environmental Microbiology. 73:12
YEW001,Bacillus subtilis,Bacteria,Bacillota,YesW RG lyase,relative activity,percent,40,48.3,Ochiai t al. 2007. Plant Cell Wall Degradation by Saprophytic Bacillus subtilis Strains: Gene Clusters Responsible for Rhamnogalacturonan Depolymerization. Applied and Environmental Microbiology. 73:12
YEW001,Bacillus subtilis,Bacteria,Bacillota,YesW RG lyase,relative activity,percent,50,65.58,Ochiai t al. 2007. Plant Cell Wall Degradation by Saprophytic Bacillus subtilis Strains: Gene Clusters Responsible for Rhamnogalacturonan Depolymerization. Applied and Environmental Microbiology. 73:12
YEW001,Bacillus subtilis,Bacteria,Bacillota,YesW RG lyase,relative activity,percent,60,96.46,Ochiai t al. 2007. Plant Cell Wall Degradation by Saprophytic Bacillus subtilis Strains: Gene Clusters Responsible for Rhamnogalacturonan Depolymerization. Applied and Environmental Microbiology. 73:12
YEW001,Bacillus subtilis,Bacteria,Bacillota,YesW RG lyase,relative activity,percent,65,100.14,Ochiai t al. 2007. Plant Cell Wall Degradation by Saprophytic Bacillus subtilis Strains: Gene Clusters Responsible for Rhamnogalacturonan Depolymerization. Applied and Environmental Microbiology. 73:12
YEW001,Bacillus subtilis,Bacteria,Bacillota,YesW RG lyase,relative activity,percent,70,92.93,Ochiai t al. 2007. Plant Cell Wall Degradation by Saprophytic Bacillus subtilis Strains: Gene Clusters Responsible for Rhamnogalacturonan Depolymerization. Applied and Environmental Microbiology. 73:12
YEW001,Bacillus subtilis,Bacteria,Bacillota,YesW RG lyase,relative activity,percent,75,55.24,Ochiai t al. 2007. Plant Cell Wall Degradation by Saprophytic Bacillus subtilis Strains: Gene Clusters Responsible for Rhamnogalacturonan Depolymerization. Applied and Environmental Microbiology. 73:12
BSA001,Bacillus subtilis,Bacteria,Bacillota,Arginase,relative activity,percent,10,2.22,Yu et al. 2013. Expression purification and biochemical properties of arginase from Bacillus subtilis 168. Journal of Microbiology. 51:2
BSA001,Bacillus subtilis,Bacteria,Bacillota,Arginase,relative activity,percent,15,1.65,Yu et al. 2013. Expression purification and biochemical properties of arginase from Bacillus subtilis 168. Journal of Microbiology. 51:2
BSA001,Bacillus subtilis,Bacteria,Bacillota,Arginase,relative activity,percent,20,1.08,Yu et al. 2013. Expression purification and biochemical properties of arginase from Bacillus subtilis 168. Journal of Microbiology. 51:2
BSA001,Bacillus subtilis,Bacteria,Bacillota,Arginase,relative activity,percent,25,8.39,Yu et al. 2013. Expression purification and biochemical properties of arginase from Bacillus subtilis 168. Journal of Microbiology. 51:2
BSA001,Bacillus subtilis,Bacteria,Bacillota,Arginase,relative activity,percent,30,9.1,Yu et al. 2013. Expression purification and biochemical properties of arginase from Bacillus subtilis 168. Journal of Microbiology. 51:2
BSA001,Bacillus subtilis,Bacteria,Bacillota,Arginase,relative activity,percent,37,82.51,Yu et al. 2013. Expression purification and biochemical properties of arginase from Bacillus subtilis 168. Journal of Microbiology. 51:2
BSA001,Bacillus subtilis,Bacteria,Bacillota,Arginase,relative activity,percent,40,92.4,Yu et al. 2013. Expression purification and biochemical properties of arginase from Bacillus subtilis 168. Journal of Microbiology. 51:2
BSA001,Bacillus subtilis,Bacteria,Bacillota,Arginase,relative activity,percent,45,100.29,Yu et al. 2013. Expression purification and biochemical properties of arginase from Bacillus subtilis 168. Journal of Microbiology. 51:2
BSA001,Bacillus subtilis,Bacteria,Bacillota,Arginase,relative activity,percent,50,97.56,Yu et al. 2013. Expression purification and biochemical properties of arginase from Bacillus subtilis 168. Journal of Microbiology. 51:2
BSA001,Bacillus subtilis,Bacteria,Bacillota,Arginase,relative activity,percent,55,65.16,Yu et al. 2013. Expression purification and biochemical properties of arginase from Bacillus subtilis 168. Journal of Microbiology. 51:2
BSA001,Bacillus subtilis,Bacteria,Bacillota,Arginase,relative activity,percent,60,56.13,Yu et al. 2013. Expression purification and biochemical properties of arginase from Bacillus subtilis 168. Journal of Microbiology. 51:2
BSA001,Bacillus subtilis,Bacteria,Bacillota,Arginase,relative activity,percent,65,50.11,Yu et al. 2013. Expression purification and biochemical properties of arginase from Bacillus subtilis 168. Journal of Microbiology. 51:2
BSA001,Bacillus subtilis,Bacteria,Bacillota,Arginase,relative activity,percent,70,18.14,Yu et al. 2013. Expression purification and biochemical properties of arginase from Bacillus subtilis 168. Journal of Microbiology. 51:2
BSA001,Bacillus subtilis,Bacteria,Bacillota,Arginase,relative activity,percent,80,1.36,Yu et al. 2013. Expression purification and biochemical properties of arginase from Bacillus subtilis 168. Journal of Microbiology. 51:2
BSA001,Bacillus subtilis,Bacteria,Bacillota,Arginase,relative activity,percent,90,0.22,Yu et al. 2013. Expression purification and biochemical properties of arginase from Bacillus subtilis 168. Journal of Microbiology. 51:2
ADC001,Bacillus subtilis,Bacteria,Bacillota,L-aspartate alpha-decarboxylase,relative activity,percent,35,27.08,Zhang et al. 2018. Glu56Ser mutation improves the enzymatic activity and catalytic stability of Bacillus subtilis l-aspartate alpha-decarboxylase for an efficient beta-alanine production. Process Biochemistry. 70.
ADC001,Bacillus subtilis,Bacteria,Bacillota,L-aspartate alpha-decarboxylase,relative activity,percent,40,31.55,Zhang et al. 2018. Glu56Ser mutation improves the enzymatic activity and catalytic stability of Bacillus subtilis l-aspartate alpha-decarboxylase for an efficient beta-alanine production. Process Biochemistry. 70.
ADC001,Bacillus subtilis,Bacteria,Bacillota,L-aspartate alpha-decarboxylase,relative activity,percent,45,41.41,Zhang et al. 2018. Glu56Ser mutation improves the enzymatic activity and catalytic stability of Bacillus subtilis l-aspartate alpha-decarboxylase for an efficient beta-alanine production. Process Biochemistry. 70.
ADC001,Bacillus subtilis,Bacteria,Bacillota,L-aspartate alpha-decarboxylase,relative activity,percent,50,54.09,Zhang et al. 2018. Glu56Ser mutation improves the enzymatic activity and catalytic stability of Bacillus subtilis l-aspartate alpha-decarboxylase for an efficient beta-alanine production. Process Biochemistry. 70.
ADC001,Bacillus subtilis,Bacteria,Bacillota,L-aspartate alpha-decarboxylase,relative activity,percent,55,74.52,Zhang et al. 2018. Glu56Ser mutation improves the enzymatic activity and catalytic stability of Bacillus subtilis l-aspartate alpha-decarboxylase for an efficient beta-alanine production. Process Biochemistry. 70.
ADC001,Bacillus subtilis,Bacteria,Bacillota,L-aspartate alpha-decarboxylase,relative activity,percent,60,94.25,Zhang et al. 2018. Glu56Ser mutation improves the enzymatic activity and catalytic stability of Bacillus subtilis l-aspartate alpha-decarboxylase for an efficient beta-alanine production. Process Biochemistry. 70.
ADC001,Bacillus subtilis,Bacteria,Bacillota,L-aspartate alpha-decarboxylase,relative activity,percent,65,100,Zhang et al. 2018. Glu56Ser mutation improves the enzymatic activity and catalytic stability of Bacillus subtilis l-aspartate alpha-decarboxylase for an efficient beta-alanine production. Process Biochemistry. 70.
ADC001,Bacillus subtilis,Bacteria,Bacillota,L-aspartate alpha-decarboxylase,relative activity,percent,70,84.15,Zhang et al. 2018. Glu56Ser mutation improves the enzymatic activity and catalytic stability of Bacillus subtilis l-aspartate alpha-decarboxylase for an efficient beta-alanine production. Process Biochemistry. 70.
ADC001,Bacillus subtilis,Bacteria,Bacillota,L-aspartate alpha-decarboxylase,relative activity,percent,75,79.69,Zhang et al. 2018. Glu56Ser mutation improves the enzymatic activity and catalytic stability of Bacillus subtilis l-aspartate alpha-decarboxylase for an efficient beta-alanine production. Process Biochemistry. 70.
ADC001,Bacillus subtilis,Bacteria,Bacillota,L-aspartate alpha-decarboxylase,relative activity,percent,80,68.65,Zhang et al. 2018. Glu56Ser mutation improves the enzymatic activity and catalytic stability of Bacillus subtilis l-aspartate alpha-decarboxylase for an efficient beta-alanine production. Process Biochemistry. 70.
ADC001,Bacillus subtilis,Bacteria,Bacillota,L-aspartate alpha-decarboxylase,relative activity,percent,85,56.79,Zhang et al. 2018. Glu56Ser mutation improves the enzymatic activity and catalytic stability of Bacillus subtilis l-aspartate alpha-decarboxylase for an efficient beta-alanine production. Process Biochemistry. 70.
ADC001,Bacillus subtilis,Bacteria,Bacillota,L-aspartate alpha-decarboxylase,relative activity,percent,90,47.87,Zhang et al. 2018. Glu56Ser mutation improves the enzymatic activity and catalytic stability of Bacillus subtilis l-aspartate alpha-decarboxylase for an efficient beta-alanine production. Process Biochemistry. 70.
DAL001,Bacillus subtilis,Bacteria,Bacillota,Alanine racemase dal,relative activity,percent,30,20.24,Pierce et al. 2008. Gene cloning and characterization of a second alanine racemase from Bacillus subtilis encoded by yncD. FEMS Microbiology Letters. 283:1
DAL001,Bacillus subtilis,Bacteria,Bacillota,Alanine racemase dal,relative activity,percent,37,36.68,Pierce et al. 2008. Gene cloning and characterization of a second alanine racemase from Bacillus subtilis encoded by yncD. FEMS Microbiology Letters. 283:1
DAL001,Bacillus subtilis,Bacteria,Bacillota,Alanine racemase dal,relative activity,percent,40,95.95,Pierce et al. 2008. Gene cloning and characterization of a second alanine racemase from Bacillus subtilis encoded by yncD. FEMS Microbiology Letters. 283:1
DAL001,Bacillus subtilis,Bacteria,Bacillota,Alanine racemase dal,relative activity,percent,50,100.71,Pierce et al. 2008. Gene cloning and characterization of a second alanine racemase from Bacillus subtilis encoded by yncD. FEMS Microbiology Letters. 283:1
DAL001,Bacillus subtilis,Bacteria,Bacillota,Alanine racemase dal,relative activity,percent,55,32.93,Pierce et al. 2008. Gene cloning and characterization of a second alanine racemase from Bacillus subtilis encoded by yncD. FEMS Microbiology Letters. 283:1
DAL001,Bacillus subtilis,Bacteria,Bacillota,Alanine racemase dal,relative activity,percent,60,20.84,Pierce et al. 2008. Gene cloning and characterization of a second alanine racemase from Bacillus subtilis encoded by yncD. FEMS Microbiology Letters. 283:1
YCN001,Bacillus subtilis,Bacteria,Bacillota,Alanine racemase ycnD,relative activity,percent,30,25.29,Pierce et al. 2008. Gene cloning and characterization of a second alanine racemase from Bacillus subtilis encoded by yncD. FEMS Microbiology Letters. 283:1
